pregunta,respuesta,tema,dificultad
¿Cuál fue el impacto de la Crisis de 1929?,Gran Depresión mundial,Historia,dificil
¿En qué consistió la Querella de las Investiduras?,Conflicto entre papado e imperio por nombramientos,Historia,dificil
¿Quién fue Al-Andalus?,Territorio musulmán en la Península Ibérica,Historia,dificil
¿Cuál fue la importancia de la Reforma Gregoriana?,Centralización y moralización de la Iglesia,Historia,dificil
¿En qué consistió el sistema de capitulaciones otomanas?,Privilegios comerciales a extranjeros,Historia,dificil
¿Quién fue Ibn Jaldún?,Historiador y sociólogo árabe,Historia,dificil
¿Cuál fue el papel de la Hansa?,Liga comercial del norte de Europa,Historia,dificil
¿En qué consistió la Revolución de los Precios?,Inflación por metales americanos,Historia,dificil
¿Quién fue Maquiavelo?,Teórico político del Renacimiento,Historia,dificil
¿Cuál fue la importancia del Tratado de Utrecht?,Nuevo equilibrio europeo,Historia,dificil
¿En qué consistió el despotismo ilustrado?,Monarquía absoluta con reformas racionalistas,Historia,dificil
¿Quién fue Voltaire?,Filósofo de la Ilustración,Historia,dificil
¿Cuál fue el impacto de las reformas borbónicas?,Modernización administrativa americana,Historia,dificil
¿En qué consistió la Crisis del siglo XVII?,Período de guerras y crisis económica,Historia,dificil
¿Quién fue Francisco Suárez?,Teólogo y jurista español,Historia,dificil
¿Cuál fue la importancia de la Escuela de Salamanca?,Desarrollo del derecho internacional,Historia,dificil
¿En qué consistió el regalismo borbónico?,Control real sobre la Iglesia,Historia,dificil
¿Quién fue Bartolomé de las Casas?,Defensor de los derechos indígenas,Historia,dificil
¿Cuál fue el papel de los jesuitas en América?,Evangelización y educación colonial,Historia,dificil
¿En qué consistió el mercantilismo español?,Política económica de acumulación de metales,Historia,dificil
¿Quién fue Hugo Grocio?,Fundador del derecho internacional,Historia,dificil
¿Cuál fue la importancia de la Paz de Augsburgo?,Reconocimiento del luteranismo,Historia,dificil
¿En qué consistió el jansenismo?,Movimiento católico rigorista,Historia,dificil
¿Quién fue Jean Bodin?,Teórico de la soberanía,Historia,dificil
¿Cuál fue el impacto de la Pequeña Edad de Hielo?,Cambios climáticos y sociales europeos,Historia,dificil
¿En qué consistió el sistema de flotas?,Comercio regulado entre España y América,Historia,dificil
¿Quién fue Domingo de Soto?,Teólogo de la Escuela de Salamanca,Historia,dificil
¿Cuál fue la importancia de la Devotio Moderna?,Renovación espiritual bajomedieval,Historia,dificil
¿En qué consistió el conciliarismo?,Movimiento por la supremacía conciliar,Historia,dificil
¿Quién fue Guillermo de Ockham?,Filósofo nominalista medieval,Historia,dificil
¿Cuál es la importancia de la longue durée braudeliana?,Estructura temporal de larga duración en análisis histórico,Historia,muy-dificil
¿En qué consiste la microhistoria como método?,Reducción de escala para análisis detallado,Historia,muy-dificil
¿Qué implica el linguistic turn en historiografía?,Giro hacia análisis del lenguaje y representación,Historia,muy-dificil
¿Cuál es el concepto de Sattelzeit de Koselleck?,Período de transición conceptual fundamental,Historia,muy-dificil
¿En qué consiste la historia de las mentalidades?,Estudio de estructuras mentales colectivas,Historia,muy-dificil
¿Qué significa la Nueva Historia Cultural?,Integración antropológica en historia,Historia,muy-dificil
¿Cuál es la crítica postcolonial a la historiografía?,Cuestionamiento de narrativas eurocéntricas,Historia,muy-dificil
¿En qué consiste el concepto de experiencia thompsoniano?,Mediación entre ser social y conciencia,Historia,muy-dificil
¿Qué implica la historia desde abajo?,Perspectiva de clases subalternas,Historia,muy-dificil
¿Cuál es la importancia de la prosopografía?,Biografía colectiva de élites,Historia,muy-dificil
¿En qué consiste la historia de género?,Análisis de construcción histórica de identidades,Historia,muy-dificil
¿Qué significa la invención de tradición?,Construcción moderna de prácticas ancestrales,Historia,muy-dificil
¿Cuál es la crítica de White a la narrativa?,Tropología del discurso histórico,Historia,muy-dificil
¿En qué consiste la historia conectada?,Análisis de intercambios transnacionales,Historia,muy-dificil
¿Qué implica el spatial turn en historia?,Giro hacia análisis espacial,Historia,muy-dificil
¿Cuál es el concepto de simultaneidad andersoniano?,Construcción de comunidades imaginadas,Historia,muy-dificil
¿En qué consiste la historia conceptual alemana?,Análisis de transformación de conceptos políticos,Historia,muy-dificil
¿Qué significa la historia del tiempo presente?,Historiografía de época contemporánea,Historia,muy-dificil
¿Cuál es la importancia de los regímenes de historicidad?,Formas de articular temporalidades,Historia,muy-dificil
¿En qué consiste la archeología del saber foucaultiana?,Análisis de formaciones discursivas,Historia,muy-dificil
¿Qué implica la deconstrucción en historia?,Análisis de contradicciones narrativas,Historia,muy-dificil
¿Cuál es el concepto de cronotopo bajtiniano?,Configuraciones espacio-temporales narrativas,Historia,muy-dificil
¿En qué consiste la historia subalterna?,Perspectiva de grupos marginados,Historia,muy-dificil
¿Qué significa la crisis de la representación?,Cuestionamiento de la capacidad mimética,Historia,muy-dificil
¿Cuál es la importancia del giro afectivo?,Emociones como categoría histórica,Historia,muy-dificil
¿En qué consiste la historia posthumana?,Historia más allá del antropocentrismo,Historia,muy-dificil
¿Qué implica la historia del Antropoceno?,Historiografía de la era geológica humana,Historia,muy-dificil
¿Cuál es el concepto de agencia material?,Capacidad de acción de objetos,Historia,muy-dificil
¿En qué consiste la história global?,Perspectiva mundial e interconectada,Historia,muy-dificil
¿Qué significa la historia multiespecie?,Inclusión de no humanos en narrativa,Historia,muy-dificil
¿Cuál es la capital de Canadá?,Ottawa,Geografía,muy-facil
¿En qué continente está Argentina?,América del Sur,Geografía,muy-facil
¿Cuál es el océano más pequeño?,Ártico,Geografía,muy-facil
¿En qué país está el río Nilo?,Egipto,Geografía,muy-facil
¿Cuál es la capital de Francia?,París,Geografía,muy-facil
¿En qué continente está Rusia?,Europa y Asia,Geografía,muy-facil
¿Cuál es el desierto de América del Norte?,Mojave,Geografía,muy-facil
¿En qué país están las Cataratas del Niágara?,Estados Unidos y Canadá,Geografía,muy-facil
¿Cuál es la capital de Italia?,Roma,Geografía,muy-facil
¿En qué continente está Madagascar?,África,Geografía,muy-facil
¿Cuál es el volcán más famoso de Italia?,Vesubio,Geografía,muy-facil
¿En qué país está Tokio?,Japón,Geografía,muy-facil
¿Cuál es la isla más grande del mundo?,Groenlandia,Geografía,muy-facil
¿En qué continente está la India?,Asia,Geografía,muy-facil
¿Cuál es el canal que une dos océanos?,Panamá,Geografía,muy-facil
¿En qué país está Berlín?,Alemania,Geografía,muy-facil
¿Cuál es la península del sur de Europa?,Ibérica,Geografía,muy-facil
¿En qué océano están las islas Filipinas?,Pacífico,Geografía,muy-facil
¿Cuál es la capital de España?,Madrid,Geografía,muy-facil
¿En qué continente está Chile?,América del Sur,Geografía,muy-facil
¿Cuál es el estrecho entre España y Marruecos?,Gibraltar,Geografía,muy-facil
¿En qué país está Moscú?,Rusia,Geografía,muy-facil
¿Cuál es la cordillera más larga del mundo?,Andes,Geografía,muy-facil
¿En qué continente está Noruega?,Europa,Geografía,muy-facil
¿Cuál es el río de Londres?,Támesis,Geografía,muy-facil
¿En qué país está Sydney?,Australia,Geografía,muy-facil
¿Cuál es la capital de México?,Ciudad de México,Geografía,muy-facil
¿En qué océano está Cuba?,Atlántico,Geografía,muy-facil
¿Cuál es el lago entre EE.UU. y Canadá?,Grandes Lagos,Geografía,muy-facil
¿En qué país está Estocolmo?,Suecia,Geografía,muy-facil
¿Cuál es la diferencia entre clima tropical y templado?,Tropical es cálido y húmedo templado tiene estaciones marcadas,Geografía,facil
¿Qué son las coordenadas geográficas?,Sistema de latitud y longitud para ubicación,Geografía,facil
¿En qué consiste la erosión costera?,Desgaste de costas por acción del mar,Geografía,facil
¿Cuál es la función de los ríos?,Transportar agua y sedimentos,Geografía,facil
¿Qué son los paralelos y meridianos?,Líneas imaginarias para coordenadas terrestres,Geografía,facil
¿En qué consiste el ciclo hidrológico?,Circulación continua del agua,Geografía,facil
¿Cuál es la diferencia entre valle y montaña?,Valle es depresión montaña es elevación,Geografía,facil
¿Qué son los ecosistemas?,Comunidades de seres vivos y su ambiente,Geografía,facil
¿En qué consiste la contaminación del aire?,Presencia de sustancias nocivas en atmósfera,Geografía,facil
¿Cuál es la función de los bosques?,Producir oxígeno y regular clima,Geografía,facil
¿Qué son las estaciones del año?,Períodos climáticos causados por inclinación terrestre,Geografía,facil
¿En qué consiste la deforestación?,Eliminación de bosques por actividad humana,Geografía,facil
¿Cuál es la diferencia entre lago y mar?,Lago es agua dulce cerrada mar es agua salada,Geografía,facil
¿Qué son los polos terrestres?,Extremos norte y sur del eje terrestre,Geografía,facil
¿En qué consiste el calentamiento global?,Aumento de temperatura mundial,Geografía,facil
¿Cuál es la función de la atmósfera?,Proteger la Tierra y regular temperatura,Geografía,facil
¿Qué son los continentes?,Grandes masas de tierra emergida,Geografía,facil
¿En qué consiste la agricultura?,Cultivo de plantas para alimentación,Geografía,facil
¿Cuál es la diferencia entre ciudad y pueblo?,Ciudad es más grande y poblada,Geografía,facil
¿Qué son las zonas climáticas?,Regiones con características climáticas similares,Geografía,facil
¿En qué consiste la ganadería?,Cría de animales para consumo,Geografía,facil
¿Cuál es la función de los océanos?,Regular clima y albergar vida marina,Geografía,facil
¿Qué son las fronteras?,Límites entre países o regiones,Geografía,facil
¿En qué consiste el turismo?,Actividad de viajar por placer,Geografía,facil
¿Cuál es la diferencia entre rural y urbano?,Rural es campo urbano es ciudad,Geografía,facil
¿Qué son los recursos naturales?,Materiales que ofrece la naturaleza,Geografía,facil
¿En qué consiste la minería?,Extracción de minerales del subsuelo,Geografía,facil
¿Cuál es la función de los mapas?,Representar la superficie terrestre,Geografía,facil
¿Qué son las migraciones?,Movimientos de población entre lugares,Geografía,facil
¿En qué consiste la pesca?,Captura de peces y mariscos,Geografía,facil
¿En qué consiste la zonación altitudinal de ecosistemas?,Variación de especies según altura,Geografía,medio
¿Cuál es el efecto de las corrientes oceánicas en el clima?,Regulan temperatura de regiones costeras,Geografía,medio
¿Qué son los sistemas de información geográfica?,Herramientas para análisis espacial digital,Geografía,medio
¿En qué consiste la subsidencia del terreno?,Hundimiento gradual de superficie,Geografía,medio
¿Cuál es la función de los humedales?,Filtrar agua y prevenir inundaciones,Geografía,medio
¿Qué son las islas de calor urbano?,Zonas urbanas más cálidas que entorno,Geografía,medio
¿En qué consiste el efecto Coriolis?,Desviación de movimientos por rotación terrestre,Geografía,medio
¿Cuál es la importancia de la biodiversidad?,Estabilidad y funcionamiento de ecosistemas,Geografía,medio
¿Qué son los acuíferos?,Formaciones que almacenan agua subterránea,Geografía,medio
¿En qué consiste la fragmentación del hábitat?,División de ecosistemas continuos,Geografía,medio
¿Cuál es el efecto de la deforestación en el clima?,Reduce precipitaciones y aumenta temperatura,Geografía,medio
¿Qué son las cuencas hidrográficas?,Territorios drenados por sistema fluvial,Geografía,medio
¿En qué consiste la eutrofización?,Enriquecimiento excesivo de nutrientes,Geografía,medio
¿Cuál es la función de los corredores biológicos?,Conectar áreas naturales fragmentadas,Geografía,medio
¿Qué son las teleconexiones climáticas?,Conexiones atmosféricas entre regiones distantes,Geografía,medio
¿En qué consiste la salinización de suelos?,Acumulación de sales en tierra cultivable,Geografía,medio
¿Cuál es el impacto del cambio climático en glaciares?,Retroceso y derretimiento acelerado,Geografía,medio
¿Qué son los servicios ecosistémicos?,Beneficios que proporcionan los ecosistemas,Geografía,medio
¿En qué consiste la desertificación?,Degradación de tierras en zonas secas,Geografía,medio
¿Cuál es la función de la capa de ozono?,Filtrar radiación ultravioleta dañina,Geografía,medio
¿Qué son los sistemas morfoclimáticos?,Procesos geomorfológicos según clima,Geografía,medio
¿En qué consiste el fenómeno de El Niño?,Calentamiento del Pacífico ecuatorial,Geografía,medio
¿Cuál es la importancia de los manglares?,Protección costera y biodiversidad,Geografía,medio
¿Qué son las precipitaciones orográficas?,Lluvias causadas por elevación del terreno,Geografía,medio
¿En qué consiste la circulación termohalina?,Corrientes profundas por temperatura y salinidad,Geografía,medio
¿Cuál es el efecto de la urbanización en el medio ambiente?,Alteración de ecosistemas y microclima,Geografía,medio
¿Qué son los biomas?,Grandes ecosistemas terrestres,Geografía,medio
¿En qué consiste la inversión térmica?,Capa de aire cálido sobre aire frío,Geografía,medio
¿Cuál es la función de los arrecifes de coral?,Protección costera y biodiversidad marina,Geografía,medio
¿Qué son las dorsales oceánicas?,Cadenas montañosas submarinas,Geografía,medio
¿En qué consiste la teoría de la deriva continental?,Movimiento de continentes a través del tiempo,Geografía,dificil
¿Cuál es el concepto de paisaje cultural?,Resultado de interacción sociedad-naturaleza,Geografía,dificil
¿Qué son los sistemas complejos en geografía?,Conjuntos de elementos interrelacionados,Geografía,dificil
¿En qué consiste la biogeografía insular?,Distribución de especies en islas,Geografía,dificil
¿Cuál es la importancia de los puntos calientes geológicos?,Zonas de volcanismo intraplaca,Geografía,dificil
¿Qué son las oscilaciones climáticas?,Variaciones periódicas de patrones atmosféricos,Geografía,dificil
¿En qué consiste la geomorfología climática?,Relación entre formas del relieve y clima,Geografía,dificil
¿Cuál es el concepto de conectividad del paisaje?,Grado de conexión entre elementos espaciales,Geografía,dificil
¿Qué son las retroalimentaciones en sistemas ambientales?,Procesos que amplifican o reducen cambios,Geografía,dificil
¿En qué consiste la teoría del equilibrio dinámico?,Estabilidad mediante ajustes continuos,Geografía,dificil
¿Cuál es la función de los gradientes ambientales?,Cambios graduales de condiciones espaciales,Geografía,dificil
¿Qué son los umbrales en sistemas geográficos?,Puntos críticos de cambio de estado,Geografía,dificil
¿En qué consiste la sucesión ecológica?,Cambios temporales en comunidades,Geografía,dificil
¿Cuál es la importancia de la escala en análisis geográfico?,Nivel que determina patrones observables,Geografía,dificil
¿Qué son las metacomunidades?,Comunidades locales conectadas por dispersión,Geografía,dificil
¿En qué consiste el concepto de resiliencia ambiental?,Capacidad de recuperación tras perturbaciones,Geografía,dificil
¿Cuál es la función de la heterogeneidad espacial?,Variación que mantiene diversidad,Geografía,dificil
¿Qué son los regímenes de perturbación?,Patrones de disturbios en ecosistemas,Geografía,dificil
¿En qué consiste la autoorganización en sistemas naturales?,Emergencia espontánea de patrones,Geografía,dificil
¿Cuál es el concepto de capacidad de carga?,Límite poblacional sostenible,Geografía,dificil
¿Qué son las transiciones de fase en geografía?,Cambios abruptos entre estados del sistema,Geografía,dificil
¿En qué consiste la teoría de la biogeografía de islas?,Modelo de colonización y extinción,Geografía,dificil
¿Cuál es la importancia de los efectos de borde?,Influencia de límites en ecosistemas,Geografía,dificil
¿Qué son las redes ecológicas?,Sistemas de áreas protegidas conectadas,Geografía,dificil
¿En qué consiste el concepto de nicho ecológico?,Papel funcional de especie en ecosistema,Geografía,dificil
¿Cuál es la función de la redundancia funcional?,Múltiples especies con roles similares,Geografía,dificil
¿Qué son los estados alternativos estables?,Múltiples configuraciones posibles de ecosistemas,Geografía,dificil
¿En qué consiste la coevolución biogeográfica?,Evolución conjunta de especies y paisajes,Geografía,dificil
¿Cuál es el concepto de memoria del paisaje?,Influencia de historia en configuración actual,Geografía,dificil
¿En qué consiste la geografía crítica postmoderna?,Análisis de poder y representación espacial,Geografía,muy-dificil
¿Cuál es el concepto de territorialidad según Sack?,Estrategia de control espacial por grupos,Geografía,muy-dificil
¿Qué implica la teoría del actor-red en geografía?,Redes híbridas de actores humanos y no humanos,Geografía,muy-dificil
¿En qué consiste la ontología plana geográfica?,Eliminación de jerarquías escalares,Geografía,muy-dificil
¿Cuál es la importancia de la topología relacional?,Relaciones espaciales más allá de geometría,Geografía,muy-dificil
¿Qué son las geografías feministas postcoloniales?,Intersección de género raza y colonialidad,Geografía,muy-dificil
¿En qué consiste la geografía emocional?,Análisis de afectos en experiencia espacial,Geografía,muy-dificil
¿Cuál es el concepto de performatividad espacial?,Espacios constituidos por prácticas repetitivas,Geografía,muy-dificil
¿Qué implica la geografía más-que-humana?,Inclusión de agencias no humanas,Geografía,muy-dificil
¿En qué consiste la geopolítica crítica feminista?,Análisis de género en poder espacial,Geografía,muy-dificil
¿Cuál es la teoría de assemblages geográficos?,Configuraciones heterogéneas de elementos,Geografía,muy-dificil
¿Qué son las geografías postseculares?,Análisis espacial más allá de dicotomías religiosas,Geografía,muy-dificil
¿En qué consiste la geografía de las atmósferas?,Estudio de ambientes afectivos espaciales,Geografía,muy-dificil
¿Cuál es el concepto de gubernamentalidad espacial?,Tecnologías de poder territoriales,Geografía,muy-dificil
¿Qué implica la geografía de la supervivencia?,Espacialidades en condiciones precarias,Geografía,muy-dificil
¿En qué consiste la geografía especulativa?,Futuros alternativos y potencialidades espaciales,Geografía,muy-dificil
¿Cuál es la importancia de los nuevos materialismos?,Agencia de la materia en configuraciones espaciales,Geografía,muy-dificil
¿Qué son las geografías queer planetarias?,Sexualidades no normativas a escala global,Geografía,muy-dificil
¿En qué consiste la geofilosofía deleuziana?,Pensamiento territorial y desterritorialización,Geografía,muy-dificil
¿Cuál es el concepto de cronotopo geográfico?,Configuraciones espacio-temporales específicas,Geografía,muy-dificil
¿Qué implica la geografía posthumana?,Análisis espacial más allá del antropocentrismo,Geografía,muy-dificil
¿En qué consiste la geografía del Antropoceno?,Espacialidad en era geológica humana,Geografía,muy-dificil
¿Cuál es la teoría de la relacionalidad espacial?,Espacios constituidos por relaciones,Geografía,muy-dificil
¿Qué son las geografías decoloniales?,Espacialidades que cuestionan colonialidad,Geografía,muy-dificil
¿En qué consiste la geografía de los afectos?,Dimensiones emocionales del espacio,Geografía,muy-dificil
¿Cuál es el concepto de multiplicidad espacial?,Coexistencia de múltiples espacialidades,Geografía,muy-dificil
¿Qué implica la geografía experimental?,Métodos creativos de investigación espacial,Geografía,muy-dificil
¿En qué consiste la geografía de las infraestructuras?,Análisis de redes técnicas y poder,Geografía,muy-dificil
¿Cuál es la teoría de los espacios lisos y estriados?,Configuraciones espaciales según Deleuze,Geografía,muy-dificil
¿Qué son las geografías algorítmicas?,Espacialidad mediada por algoritmos,Geografía,muy-dificil
¿En qué consiste la geografía de la precariedad?,Espacialidades de vulnerabilidad económica,Geografía,muy-dificil
¿Qué es una escultura?,Arte de crear formas tridimensionales,Arte,muy-facil
¿Cuántos colores tiene el arcoíris?,Siete,Arte,muy-facil
¿Qué instrumento toca un pianista?,Piano,Arte,muy-facil
¿Quién pintó El Guernica?,Pablo Picasso,Arte,muy-facil
¿Qué es un pincel?,Herramienta para pintar,Arte,muy-facil
¿En qué museo está La Gioconda?,Museo del Louvre,Arte,muy-facil
¿Qué color sale al mezclar blanco y negro?,Gris,Arte,muy-facil
¿Quién compuso para Elisa?,Beethoven,Arte,muy-facil
¿Qué es un retrato?,Pintura de una persona,Arte,muy-facil
¿Cuántas cuerdas tiene un violín?,Cuatro,Arte,muy-facil
¿Qué es la cerámica?,Arte de trabajar con arcilla,Arte,muy-facil
¿En qué ciudad está la Sagrada Familia?,Barcelona,Arte,muy-facil
¿Qué es un mural?,Pintura en una pared,Arte,muy-facil
¿Quién compuso La flauta mágica?,Mozart,Arte,muy-facil
¿Qué forma tiene un círculo?,Redonda,Arte,muy-facil
¿En qué país nació Van Gogh?,Países Bajos,Arte,muy-facil
¿Qué es un lienzo?,Tela para pintar,Arte,muy-facil
¿Quién escribió El cascanueces?,Tchaikovsky,Arte,muy-facil
¿Qué es la fotografía?,Arte de capturar imágenes,Arte,muy-facil
¿Cuántas teclas negras tiene un piano?,36,Arte,muy-facil
¿Qué es un collage?,Técnica de pegar materiales diversos,Arte,muy-facil
¿En qué siglo vivió Goya?,XVIII-XIX,Arte,muy-facil
¿Qué es la acuarela?,Pintura con pigmentos y agua,Arte,muy-facil
¿Quién compuso El Danubio Azul?,Johann Strauss,Arte,muy-facil
¿Qué es un boceto?,Dibujo rápido y básico,Arte,muy-facil
¿En qué museo está El David?,Galería de la Academia en Florencia,Arte,muy-facil
¿Qué es el grafiti?,Arte urbano en paredes,Arte,muy-facil
¿Quién compuso Carmen?,Bizet,Arte,muy-facil
¿Qué es un mosaico?,Arte con pequeñas piezas de colores,Arte,muy-facil
¿Cuántas notas hay en una escala?,Ocho,Arte,muy-facil
¿Qué caracterizó al arte neoclásico?,Vuelta a los ideales clásicos griegos y romanos,Arte,facil
¿En qué consiste la técnica del puntillismo?,Pintar con pequeños puntos de color,Arte,facil
¿Quién fue Andy Warhol?,Artista del Pop Art,Arte,facil
¿Cuál es la diferencia entre ballet y danza moderna?,Ballet es clásico y estructurado danza moderna es libre,Arte,facil
¿Qué es la litografía?,Técnica de impresión sobre piedra,Arte,facil
¿En qué período se desarrolló el arte romántico?,Siglo XIX,Arte,facil
¿Quién pintó La persistencia de la memoria?,Salvador Dalí,Arte,facil
¿Qué caracteriza al arte bizantino?,Iconos religiosos y mosaicos dorados,Arte,facil
¿En qué consiste la técnica del grabado?,Imprimir desde una matriz tallada,Arte,facil
¿Quién fue Frida Kahlo?,Pintora mexicana surrealista,Arte,facil
¿Qué es el arte sacro?,Arte religioso para iglesias,Arte,facil
¿En qué siglo surgió el impresionismo?,Siglo XIX,Arte,facil
¿Quién compuso La Marsellesa?,Claude Joseph Rouget de Lisle,Arte,facil
¿Qué caracteriza al arte egipcio?,Rigidez jerárquica y simbolismo funerario,Arte,facil
¿En qué consiste la escultura en bronce?,Moldear metal fundido en formas,Arte,facil
¿Quién pintó Las señoritas de Avignon?,Pablo Picasso,Arte,facil
¿Qué es el arte rupestre?,Pinturas prehistóricas en cuevas,Arte,facil
¿En qué período vivió Michelangelo?,Renacimiento,Arte,facil
¿Quién compuso La consagración de la primavera?,Igor Stravinsky,Arte,facil
¿Qué caracteriza al arte gótico?,Verticalidad y luminosidad,Arte,facil
¿En qué consiste la técnica del temple?,Pintura con pigmentos y huevo,Arte,facil
¿Quién fue Jackson Pollock?,Pintor del expresionismo abstracto,Arte,facil
¿Qué es el arte conceptual básico?,Arte donde la idea es más importante que el objeto,Arte,facil
¿En qué siglo se desarrolló el barroco?,Siglo XVII,Arte,facil
¿Quién pintó La escuela de Atenas?,Rafael,Arte,facil
¿Qué caracteriza al arte precolombino?,Arte de civilizaciones americanas antes de Colón,Arte,facil
¿En qué consiste la xilografía?,Grabado en madera,Arte,facil
¿Quién compuso Bolero?,Maurice Ravel,Arte,facil
¿Qué es el land art básico?,Arte realizado en paisajes naturales,Arte,facil
¿En qué período surgió el romanticismo?,Finales siglo XVIII principios XIX,Arte,facil
¿En qué consiste la estética kantiana del juicio?,Análisis filosófico de la experiencia estética,Arte,medio
¿Cuál fue la importancia del Salón de París?,Centro del establishment artístico francés,Arte,medio
¿Qué caracteriza al expresionismo alemán?,Distorsión emocional y crítica social,Arte,medio
¿En qué consiste la música dodecafónica?,Sistema atonal de doce tonos,Arte,medio
¿Cuál es la función del mecenazgo renacentista?,Patrocinio artístico de la aristocracia,Arte,medio
¿Qué es la sinestesia en arte?,Correspondencia entre sentidos diferentes,Arte,medio
¿En qué consiste el arte total wagneriano?,Síntesis de música drama y artes visuales,Arte,medio
¿Cuál fue la revolución de la perspectiva aérea?,Representación de profundidad mediante color,Arte,medio
¿Qué caracteriza al muralismo mexicano?,Arte público con mensaje social,Arte,medio
¿En qué consiste la música aleatoria?,Composición basada en el azar,Arte,medio
¿Cuál es la importancia de la Bauhaus?,Integración de arte diseño e industria,Arte,medio
¿Qué es la abstracción geométrica?,Arte no figurativo basado en formas puras,Arte,medio
¿En qué consiste el método de Stanislavski?,Sistema de interpretación teatral,Arte,medio
¿Cuál fue la función del arte en la Contrarreforma?,Instrumento de devoción y enseñanza católica,Arte,medio
¿Qué caracteriza al neoplasticismo?,Reducción a líneas rectas y colores primarios,Arte,medio
¿En qué consiste la música concreta?,Composición con sonidos grabados y manipulados,Arte,medio
¿Cuál es la importancia de la Academia francesa?,Codificación de normas artísticas oficiales,Arte,medio
¿Qué es la performance en artes escénicas?,Arte en vivo con el cuerpo como medio,Arte,medio
¿En qué consiste el serialismo musical?,Organización sistemática de elementos musicales,Arte,medio
¿Cuál fue la revolución del montaje eisensteiniano?,Creación de significado através del corte,Arte,medio
¿Qué caracteriza al suprematismo?,Abstracción pura con formas geométricas básicas,Arte,medio
¿En qué consiste la música espectral?,Composición basada en análisis del timbre,Arte,medio
¿Cuál es la función de la crítica de arte moderna?,Mediación entre obra y público especializado,Arte,medio
¿Qué es la instalación sonora?,Arte que transforma espacios con sonido,Arte,medio
¿En qué consiste el método de composición por capas?,Superposición de elementos musicales independientes,Arte,medio
¿Cuál fue la importancia de los manifiestos vanguardistas?,Programas teóricos de renovación artística,Arte,medio
¿Qué caracteriza al minimalismo musical?,Repetición y transformación gradual,Arte,medio
¿En qué consiste la estética de lo grotesco?,Mezcla de elementos contradictorios,Arte,medio
¿Cuál es la función del cubo blanco?,Espacio neutral para exhibición artística,Arte,medio
¿Qué es la música electroacústica?,Composición con medios electrónicos y acústicos,Arte,medio
¿En qué consiste la estética de la recepción en arte?,Teoría que enfatiza el papel del espectador,Arte,dificil
¿Cuál fue la importancia de la querella del color?,Debate entre dibujo y color en academia francesa,Arte,dificil
¿Qué caracteriza al arte povera italiano?,Uso de materiales pobres y procesos naturales,Arte,dificil
¿En qué consiste la música microtonall?,Sistema con intervalos menores al semitono,Arte,dificil
¿Cuál es el concepto de aura benjaminiana?,Cualidad única irrepetible de la obra original,Arte,dificil
¿Qué es la deconstrucción arquitectónica?,Arquitectura que cuestiona principios tradicionales,Arte,dificil
¿En qué consiste la estética adorniana?,Crítica de la industria cultural,Arte,dificil
¿Cuál fue la revolución del action painting?,Gestualidad y proceso como contenido artístico,Arte,dificil
¿Qué caracteriza al teatro del absurdo?,Drama que refleja sinsentido de existencia,Arte,dificil
¿En qué consiste la música ambient?,Sonido atmosférico para transformar espacios,Arte,dificil
¿Cuál es la importancia de la obra de arte total?,Síntesis de todas las artes en experiencia única,Arte,dificil
¿Qué es la apropiación artística?,Reutilización crítica de imágenes existentes,Arte,dificil
¿En qué consiste el teatro épico brechtiano?,Drama que rompe ilusión para generar reflexión,Arte,dificil
¿Cuál fue la función del arte en sociedades totales?,Instrumento de propaganda y control ideológico,Arte,dificil
¿Qué caracteriza al arte relacional?,Práticas artísticas que generan encuentros sociales,Arte,dificil
¿En qué consiste la música ritual contemporánea?,Composición para experiencias ceremoniales,Arte,dificil
¿Cuál es el concepto de simulacro en arte?,Copia sin original en cultura postmoderna,Arte,dificil
¿Qué es la estética posthumana?,Arte que cuestiona límites de lo humano,Arte,dificil
¿En qué consiste el arte biotech?,Práctica artística con biotecnología,Arte,dificil
¿Cuál fue la importancia de la desmaterialización?,Proceso de reducción del objeto artístico,Arte,dificil
¿Qué caracteriza al new media art?,Arte que utiliza tecnologías digitales,Arte,dificil
¿En qué consiste la música algorítmica?,Composición generada por programas,Arte,dificil
¿Cuál es la función del arte en el capitalismo cognitivo?,Producción de subjetividad e inmaterialidad,Arte,dificil
¿Qué es la estética de la emergencia?,Propiedades que surgen de interacciones complejas,Arte,dificil
¿En qué consiste el arte de realidad virtual?,Creación de experiencias inmersivas digitales,Arte,dificil
¿Cuál fue la revolución del video arte?,Democratización y temporalidad en arte visual,Arte,dificil
¿Qué caracteriza al arte ecológico?,Práticas artísticas de conciencia ambiental,Arte,dificil
¿En qué consiste la música generativa?,Sistemas que crean música de forma autónoma,Arte,dificil
¿Cuál es el concepto de rizoma estético?,Multiplicidad de conexiones sin jerarquía,Arte,dificil
¿Qué es la estética de los nuevos materiales?,Agencia estética de entidades no humanas,Arte,dificil
¿En qué consiste la estética decolonial?,Arte que cuestiona epistemes coloniales,Arte,muy-dificil
¿Cuál es la importancia del giro ontológico en arte?,Cuestionamiento de divisiones naturaleza-cultura,Arte,muy-dificil
¿Qué caracteriza al arte en el Antropoceno?,Respuesta artística a crisis ambiental global,Arte,muy-dificil
¿En qué consiste la música posthumana?,Composición que incluye agencias no humanas,Arte,muy-dificil
¿Cuál es el concepto de différance estética?,Diferimiento constitutivo del sentido artístico,Arte,muy-dificil
